                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                 1.2707,                0.83815,                 1.4343,                0.34045,                 0.3109,                0.32714,                0.20746,                 1.5825,                 4.0833,                 1.5489,             0.00092678,             0.00092678,             0.00092678
                     73,                 1.3166,                0.80701,                 1.4601,                0.33332,                0.36458,                0.33145,                0.20846,                 1.6469,                 4.2483,                 1.5892,              0.0009197,              0.0009197,              0.0009197
                     74,                 1.3184,                0.82745,                 1.4583,                0.36539,                0.33435,                0.33668,                0.21545,                 1.5541,                 4.2502,                 1.5317,             0.00091263,             0.00091263,             0.00091263
                     75,                 1.3365,                 0.8649,                 1.5141,                0.34778,                0.33681,                0.32656,                0.21607,                 1.5243,                 3.9962,                 1.5063,             0.00090556,             0.00090556,             0.00090556
                     76,                 1.2698,                0.81868,                 1.4615,                0.33954,                0.33868,                0.33176,                0.22396,                 1.5032,                 4.1737,                 1.4951,             0.00089848,             0.00089848,             0.00089848
                     77,                 1.3185,                0.84941,                 1.4766,                0.31102,                 0.3141,                0.29421,                0.18215,                 1.5342,                 4.1936,                 1.5096,             0.00089141,             0.00089141,             0.00089141
                     78,                 1.3011,                0.83861,                 1.4584,                 0.3272,                0.31838,                0.33154,                0.20766,                 1.6271,                 4.1136,                 1.5785,             0.00088434,             0.00088434,             0.00088434
                     79,                  1.317,                0.81168,                 1.4811,                0.36774,                 0.3141,                0.34815,                0.23803,                 1.5403,                 4.0592,                 1.5413,             0.00087726,             0.00087726,             0.00087726
                     80,                 1.2804,                0.79457,                 1.4443,                0.34448,                0.34116,                0.33918,                0.23037,                 1.5851,                 3.9525,                 1.5886,             0.00087019,             0.00087019,             0.00087019
                     81,                 1.2559,                0.78789,                 1.4448,                0.34328,                0.33738,                0.34414,                0.23439,                 1.5301,                 3.8865,                 1.5007,             0.00086312,             0.00086312,             0.00086312
                     82,                  1.266,                0.79828,                 1.4321,                0.30046,                0.36749,                0.32545,                0.21071,                 1.5061,                 4.1079,                 1.4941,             0.00085604,             0.00085604,             0.00085604
                     83,                 1.2308,                0.77544,                 1.4158,                 0.2934,                0.34615,                0.33222,                0.21252,                 1.5443,                 3.8796,                 1.4692,             0.00084897,             0.00084897,             0.00084897
                     84,                 1.2271,                0.76752,                 1.3977,                0.38517,                 0.3312,                0.34162,                0.23028,                 1.5913,                  3.934,                 1.5065,              0.0008419,              0.0008419,              0.0008419
                     85,                 1.2326,                0.77656,                 1.4368,                0.36418,                0.34295,                0.32977,                0.21829,                 1.5069,                 4.2838,                 1.4884,             0.00083482,             0.00083482,             0.00083482
                     86,                 1.1978,                0.78866,                 1.3993,                0.34045,                0.33228,                0.31491,                 0.1952,                 1.4993,                 4.2165,                 1.5182,             0.00082775,             0.00082775,             0.00082775
                     87,                 1.2374,                0.77321,                 1.4218,                0.37971,                 0.3427,                0.32827,                0.22611,                 1.5204,                 4.1218,                 1.5057,             0.00082067,             0.00082067,             0.00082067
                     88,                 1.2411,                0.77156,                 1.4224,                0.37623,                0.34295,                0.33195,                0.19879,                 1.6081,                 4.3472,                 1.5383,              0.0008136,              0.0008136,              0.0008136
                     89,                  1.237,                0.78692,                 1.4113,                0.35964,                0.34615,                0.32232,                0.18679,                 1.5925,                 4.1988,                 1.5353,             0.00080653,             0.00080653,             0.00080653
                     90,                 1.2061,                0.76322,                 1.3917,                0.32649,                0.34153,                  0.315,                0.20075,                 1.5871,                 4.1987,                 1.4744,             0.00079945,             0.00079945,             0.00079945
                     91,                 1.2429,                0.77869,                 1.4785,                0.34012,                0.34295,                0.33287,                0.21805,                 1.5694,                 4.4007,                 1.5359,             0.00079238,             0.00079238,             0.00079238
                     92,                 1.2454,                0.75726,                 1.4092,                0.37373,                0.31252,                0.35238,                 0.2282,                 1.5437,                 4.0564,                 1.4789,             0.00078531,             0.00078531,             0.00078531
                     93,                 1.2622,                0.79453,                 1.4355,                0.39385,                0.31517,                0.32369,                0.21128,                 1.6013,                 4.0097,                 1.5175,             0.00077823,             0.00077823,             0.00077823
                     94,                 1.3299,                0.79047,                 1.4199,                0.37408,                 0.3109,                0.33592,                0.21092,                 1.5393,                 4.1253,                  1.505,             0.00077116,             0.00077116,             0.00077116
                     95,                 1.2284,                0.74343,                 1.3753,                0.34041,                0.37714,                 0.3438,                0.22254,                 1.5295,                 3.9999,                 1.4787,             0.00076409,             0.00076409,             0.00076409
                     96,                 1.1953,                 0.7487,                 1.3789,                0.34627,                0.37286,                0.34003,                0.22296,                 1.4452,                 3.9671,                 1.4143,             0.00075701,             0.00075701,             0.00075701
                     97,                 1.1854,                0.72708,                 1.4032,                0.36563,                0.37714,                0.34836,                0.21707,                 1.5568,                 4.2745,                 1.4885,             0.00074994,             0.00074994,             0.00074994
                     98,                 1.2615,                0.74131,                 1.4007,                0.36784,                0.36906,                0.33694,                0.21917,                 1.5447,                  4.343,                 1.5027,             0.00074287,             0.00074287,             0.00074287
                     99,                 1.1978,                0.75197,                 1.4265,                0.35733,                0.33761,                0.35212,                0.23409,                 1.5251,                 4.0786,                 1.4593,             0.00073579,             0.00073579,             0.00073579
                    100,                 1.2436,                0.80871,                 1.4418,                0.39349,                0.32051,                0.35197,                0.23418,                 1.5011,                 4.0348,                 1.4787,             0.00072872,             0.00072872,             0.00072872
                    101,                 1.2055,                0.72894,                 1.3524,                0.37306,                0.34295,                0.34077,                0.22136,                 1.5216,                 4.2518,                 1.4607,             0.00072164,             0.00072164,             0.00072164
                    102,                 1.1424,                0.70661,                 1.3472,                0.37659,                0.30832,                0.32133,                0.19896,                 1.5561,                 4.2626,                 1.5283,             0.00071457,             0.00071457,             0.00071457
                    103,                 1.1553,                0.71948,                 1.3631,                0.33855,                0.31838,                0.32344,                0.19233,                  1.647,                 4.1661,                  1.533,              0.0007075,              0.0007075,              0.0007075
                    104,                 1.2023,                0.70376,                 1.3778,                0.37847,                0.34295,                0.33457,                 0.2209,                 1.5229,                 4.2655,                 1.4939,             0.00070042,             0.00070042,             0.00070042
